2-DEHYDRO-3-DEOXY-D-GLUCONATE	"2ddglcn"
DETHIOBIOTIN	"dtbt"
DEAMIDO-NAD	"dnad"
UDP-OHMYR-ACETYLGLUCOSAMINE	"u3aga"
PHENYL-PYRUVATE	"phpyr"
UDP-N-ACETYL-GALACTOSAMINE	"udpacgal"
OH-HEXANOYL-COA	"3hhcoa"
DUDP	"dudp"
23-Diaminopropanoate	"23dappa"
CPD0-1189	"uLa4n"
PYRIDOXAL_PHOSPHATE	"pydx5p"
DIHYDROMONAPTERIN-TRIPHOSPHATE	"dhmptp"
CPD0-1137	"ap5a"
DUMP	"dump"
CPD0-1133	"malthp"
RIBOSE-15-BISPHOSPHATE	"r15bp"
UDP-AA-GLUTAMATE	"uamag"
3-P-HYDROXYPYRUVATE	"3php"
P3I	"pppi"
N-ACETYL-D-GLUCOSAMINE-1-P	"acgam1p"
TRIMETHYLAMINE	"tma"
Elemental-Sulfur	"s"
DUTP	"dutp"
5-PHOSPHO-RIBOSYL-GLYCINEAMIDE	"gar"
HYDROXYMETHYLBILANE	"hmbil"
PHOSPHORIBOSYL-FORMIMINO-AICAR-P	"prfp"
HYDRPHENYLAC-CPD	"4hoxpacd"
3-KETO-L-GULONATE	"3dhguln"
DI-H-OROTATE	"dhor__S"
5-METHYLTHIOADENOSINE	"5mta"
DTDP-DEOH-DEOXY-MANNOSE	"dtdp4d6dm"
ISOCHORISMATE	"ichor"
CPD0-1081	"anhgm"
CPD0-1083	"galctn__L"
2-ACETO-LACTATE	"alac__S"
CPD0-1063	"man6pglyc"
PHE	"phe__L"
DIMETHYLBENZIMIDAZOLE	"dmbzid"
MI-HEXAKISPHOSPHATE	"minohp"
CPD0-2330	"pg161"
SEPO3	"selnp"
PPI	"ppi"
OH-MYRISTOYL	"u23ga"
PRO	"pro__L"
4-AMINO-BUTYRALDEHYDE	"4abutn"
5-DEHYDROGLUCONATE	"5dglcn"
UDP-ACETYL-CARBOXYVINYL-GLUCOSAMINE	"uaccg"
3-KETOBUTYRATE	"acac"
PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE	"5aizc"
TARTRATE	"tartr__L"
D-TAGATURONATE	"tagur"
5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE	"fgam"
UNDECAPRENYL-P	"udcpp"
3-CARBOXY-3-HYDROXY-ISOCAPROATE	"3c3hmp"
CU+2	"cu2"
L-HISTIDINOL-P	"hisp"
BUTYRYL-COA	"btcoa"
PHOSPHO-ENOL-PYRUVATE	"pep"
DIOH-ISOVALERATE	"23dhmb"
OCTAPRENYL-METHYL-OH-METHOXY-BENZQ	"2omhmbl"
CPD0-1456	"uama"
CPD0-1445	"LalaLglu"
NADPH	"nadph"
ACETOL	"acetol"
GUANOSINE_DIPHOSPHATE_FUCOSE	"gdpfuc"
2-KETO-3-METHYL-VALERATE	"3mop"
2-ACETO-2-HYDROXY-BUTYRATE	"2ahbut"
KDO2-LAUROYL-LIPID-IVA	"kdo2lipid4L"
8-AMINO-7-OXONONANOATE	"8aonn"
L-RIBULOSE-5-P	"ru5p__L"
TAGATOSE-1-6-DIPHOSPHATE	"tagdp__D"
TDP-FUC4NAC	"dtdp4aaddg"
D-SERINE	"ser__D"
MANNITOL-1P	"mnl1p"
UDP-MURNAC-TETRAPEPTIDE	"um4p"
ERYTHRONATE-4P	"4per"
GAMMA-GLUTAMYL-PUTRESCINE	"ggptrc"
CPD-17087	"pe140"
DIHYDRONEOPTERIN-P	"dhpmp"
L-BETA-ASPARTYL-P	"4pasp"
S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE	"amob"
P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE	"25aics"
CPD-9000	"gg4abut"
ERYTHROSE-4P	"e4p"
KDO2-PALMITOLEOYL-LIPID-IVA	"kdo2lipid4p"
HCO3	"hco3"
L-ORNITHINE	"orn"
CPD-18379	"1tdecg3p"
CPD-3617	"dca"
CPD-3604	"acgal"
SER	"ser__L"
TYRAMINE	"tym"
PROPIONYL-P	"ppap"
KDO-LIPID-IVA	"kdolipid4"
CPD-196	"occoa"
L-LYXOSE	"lyx__L"
CPD-195	"octa"
L-CITRULLINE	"citr__L"
SO3	"so3"
5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE	"air"
CPD-2343	"3dhgulnp"
CPD-1086	"5aprbu"
CPD-157	"hkndd"
ADENOSYL-P4	"ap4a"
CPD-1063	"5mdru1p"
SUC	"succ"
CPD-14916	"3hocoa"
CARNITINE	"crn"
ACETYL-D-GLUCOSAMINYLDIPHOSPHO-UNDECAPRE	"unaga"
DIHYDROXYNAPHTHOATE	"dhna"
NICOTINAMIDE_NUCLEOTIDE	"nmn"
PYRIDOXAMINE	"pydam"
TDP	"dtdp"
L-DELTA1-PYRROLINE_5-CARBOXYLATE	"1pyr5c"
PALMITATE	"hdca"
THF	"thf"
THR	"thr__L"
THZ	"4mhetz"
DIHYDRO-DIOH-BENZOATE	"23ddhb"
FARNESYL-PP	"frdp"
D-GLT	"glu__D"
TMP	"dtmp"
C55-PP-GLCNAC-MANNACA-FUC4NAC	"unagamuf"
TRP	"trp__L"
TTP	"dttp"
NIACINE	"nac"
CPD0-181	"5caiz"
AMINO-ACETONE	"aact"
3-DEHYDRO-SHIKIMATE	"3dhsk"
MALTOPENTAOSE	"maltpt"
D-BETA-D-HEPTOSE-17-DIPHOSPHATE	"gmhep17bp"
GUANOSINE	"gsn"
TYR	"tyr__L"
METHYL-GLYOXAL	"mthgxl"
PANTOTHENATE	"pnto__R"
5-METHYL-THF	"5mthf"
UDP	"udp"
ACETYLMALTOSE	"acmalt"
PROPANE-1-2-DIOL	"12ppd__S"
WATER	"h2o"
CPD-358	"lald__D"
CPD-377	"2dhglcn"
4-HYDROXY-BENZYL-ALCOHOL	"4hba"
UMP	"ump"
CPD-316	"rbflvrd"
CPD-334	"23doguln"
CPD-3462	"n8aspmd"
DEOXYURIDINE	"duri"
UBIQUINONE-8	"q8"
CPD-389	"oxur"
UTP	"utp"
CPD-397	"mmet"
SHIKIMATE	"skm"
D-ALPHABETA-D-HEPTOSE-7-PHOSPHATE	"gmhep7p"
DEHYDROQUINATE	"3dhq"
THIAMINE	"thm"
2-OCTAPRENYLPHENOL	"2oph"
UDP-N-ACETYL-D-GLUCOSAMINE	"uacgam"
OCTAPRENYL-METHYL-METHOXY-BENZQ	"2ommbl"
HG+2	"hg2"
TREHALOSE	"tre"
2-KETO-ISOVALERATE	"3mob"
GLUTATHIONYLSPERMIDINE	"gtspmd"
VAL	"val__L"
D-CYSTEINE	"cys__D"
3-OCTAPRENYL-4-HYDROXYBENZOATE	"3ophb"
CPD-225	"acon_T"
LACTALD	"lald__L"
CPD-218	"met__D"
KDO2-LIPID-IVA-COLD	"lipa_cold"
THYMIDINE	"thymd"
THZ-P	"4mpetz"
L-FUCULOSE	"fcl__L"
L-PANTOATE	"pant__R"
3-MERCAPTO-PYRUVATE	"mercppyr"
L-GLUTAMATE_GAMMA-SEMIALDEHYDE	"glu5sa"
KDO2-LIPID-A	"lipa"
CPD-207	"phaccoa"
GAMMA-GLUTAMYL-GAMMA-AMINOBUTYRALDEH	"ggbutal"
CPD-12575	"udpg"
1-6-anhydro-MurNAc-tetrapeptide	"anhm4p"
SUPER-OXIDE	"o2s"
CIS-ACONITATE	"acon_C"
KDO-8P	"kdo8p"
3-SULFINOALANINE	"3sala"
METHYL-MALONYL-COA	"mmcoa__R"
BIOTIN	"btn"
N-SUCCINYL-2-AMINO-6-KETOPIMELATE	"sl2a6o"
QUINOLINATE	"quln"
L-XYLULOSE	"xylu__L"
LAUROYLCOA-CPD	"ddcacoa"
D-ERYTHRO-IMIDAZOLE-GLYCEROL-P	"eig3p"
2-AMINOMALONATE-SEMIALDEHYDE	"2amsa"
25-DIDEHYDRO-D-GLUCONATE	"25dkglcn"
PHENYLETHYLAMINE	"peamn"
GLYCERALD	"glyald"
CPD-541	"g3pi"
CPD-536	"glyc2p"
GAMMA-BUTYROBETAINYL-COA	"bbtcoa"
CPD-548	"Sfglutth"
CPD-560	"5mtr"
PHENYLACETATE	"pac"
CPD-564	"rhcys"
HISTIDINOL	"histd"
CPD-558	"pmcoa"
GLUCONATE	"glcn"
CPD-568	"N1aspmd"
AGMATHINE	"agm"
NITRATE	"no3"
GLYCERATE	"glyc__R"
SULFATE	"so4"
STEAROYL-COA	"stcoa"
UDP-AAGM-DIAMINOHEPTANEDIOATE	"ugmd"
SPERMIDINE	"spmd"
XDP	"xdp"
PROPIONATE	"ppa"
CPD-618	"micit"
CPD-622	"2mcit"
DEPHOSPHO-COA	"dpcoa"
3-OXOPALMITOYL-COA	"3ohdcoa"
ADENOSYLCOBALAMIN	"adocbl"
SERYL-AMP	"seramp"
CPD-609	"gp4g"
CPD-602	"5apru"
CPD-69	"cynt"
CPD-62	"23dhba"
CPD-67	"2pglyc"
CPD-469	"acg5sa"
CPD-479	"2kmb"
CPD0-621	"cpgn"
MALTOTETRAOSE	"maltttr"
CPD-421	"sucarg"
GERANYL-PP	"grdp"
CPD-444	"5mdr1p"
XTP	"xtp"
DIHYDRO-NEO-PTERIN	"dhnpt"
O-PHOSPHO-L-HOMOSERINE	"phom"
CROTONOBETAINYL-COA	"ctbtcoa"
HYDROGEN-MOLECULE	"h2"
S-HYDROXYMETHYLGLUTATHIONE	"hmgth"
ALPHA-RIBAZOLE	"rdmbzi"
RIBOFLAVIN	"ribflv"
CPD-10204	"hmfurn"
CPD-10246	"sulfac"
OXALACETIC_ACID	"oaa"
CPD-510	"glcur1p"
CPD-522	"acglc__D"
CPD-12816	"ps180"
CPD-12817	"ps160"
CPD-12818	"pe180"
CPD-12819	"pe160"
CPD-12820	"pgp180"
CPD-12824	"clpn160"
CPD-12821	"pgp160"
CPD-12822	"pg180"
MESO-DIAMINOPIMELATE	"26dap__M"
CPD-1244	"malt6p"
ACETYL-COA	"accoa"
FRUCTOSE-16-DIPHOSPHATE	"fdp"
CPD-10260	"3oodcoa"
CPD-10262	"od2coa"
CPD-10267	"dcacoa"
PROTOPORPHYRIN_IX	"ppp9"
TREHALOSE-6P	"tre6p"
CPD-10284	"3otdcoa"
N-ACETYLNEURAMINATE	"acnam"
HOMO-CYS	"hcys__L"
2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	"3c2hmp"
2-OCTAPRENYL-6-METHOXYPHENOL	"2omph"
ENTEROBACTIN	"enter"
ARABINOSE-5P	"ara5p"
D-ALANINE	"ala__D"
FE+2	"fe2"
FE+3	"fe3"
CPD-11653	"enlipa"
COB-I-ALAMIN	"cbl1"
OXAMATE	"oxam"
GLUCURONATE	"glcur"
DIHYDRONEOPTERIN-P3	"ahdt"
ACETALD	"acald"
XANTHOSINE-5-PHOSPHATE	"xmp"
PAPS	"paps"
CPD-822	"sucgsa"
ADENOSYLCOBINAMIDE	"adocbi"
CPD-3746	"mso3"
CPD-3744	"butso3"
CPD-3745	"isetac"
CPD-3728	"tyrp"
CPD-3724	"3ump"
CPD-3725	"23cump"
CPD-3713	"23ccmp"
CPD-3711	"3cmp"
CPD-3706	"3amp"
CPD-3707	"23camp"
CPD-3708	"3gmp"
CPD-3709	"23cgmp"
CPD-660	"mal__D"
CPD-665	"ppal"
CPD-674	"cinnm"
